probe,symbol,pan1,pan2,blood,skin,liver,kidney,loglin,relative
cg12017700,IGF2BP3,4.044613737,,7.902279443,,,,,
V5574,,,-9.437709239,,,,,,
V5576,,,2.388745308,,,,,,
V5612,,,5.682851815,,,,,,
cg24060890,XPA,-2.361136345,,-1.282942213,,,,,
V5685,,,-0.346822328,,,,,,
V5686,,,-5.381950285,,,,,,
V14518,,,10.49200966,,,,,,
cg00811020,NAA30,-21.47764481,,,,,,,
V6225,,,-0.007028911,,,,,,
V15035,,,-1.197540518,,,,,,
V15117,,,-6.347394054,,,,,,
cg26589497,PURA,-1.212107306,,,,,,,
V7041,,,5.325245065,,,,,,
V7542,,,2.405528141,,,,,,
V7546,,,2.258303472,,,,,,
V7762,,,-4.800454459,,,,,,
V226,,,1.825251696,,,,,,
V592,,,-3.606452345,,,,,,
V601,,,1.202755349,,,,,,
V8536,,,2.453984095,,,,,,
V1098,,,-56.08511232,,,,,,
cg11120353,CACNA1D,-0.576098866,,,,,,,
V8674,,,1.620082313,,,,,,
V8908,,,-0.280857461,,,,,,
V9093,,,-61.56450741,,,,,,
V2039,,,-0.855060145,,,,,,
V2294,,,0.260534935,,,,,,
cg13843674,RMDN1,-0.578713174,,,,,,,
V9812,,,9.142720149,,,,,,
V2884,,,-0.287282115,,,,,,
V3001,,,12.88576841,,,,,,
V3568,,,-2.502566066,,,,,,
cg22881140,HAND2,0.155757509,,,,,,,
V3994,,,1.148381174,,,,,,
cg20009490,CASZ1,-0.194932283,,,,,,,
V11693,,,0.255279351,,,,,,
V4993,,,1.253366651,,,,,,
V12688,,,7.086903429,,,,,,
V21842,,,0.15059362,,,,,,
V5559,,,16.0802076,,,,,,
V13355,,,-2.059808013,,,,,,
V13414,,,27.79943504,,,,,,
V13458,,,3.669428717,,,,,,
cg22638407,HECTD3,-1.373510002,,,,,,,
V14055,,,5.032993374,,,,,,
V14105,,,-0.482716541,,,,,,
V23261,,,6.574021514,,,,,,
V6001,,,-0.03366025,,,,,,
V14970,,,-0.579676502,,,,,,
V24141,,,-1.496121157,,,,,,
V24932,,,-13.07062686,,,,,,
V6922,,,2.933634102,,,,,,
V15569,,,-0.380257742,,,,,,
V15613,,,0.662361263,,,,,,
V15766,,,-0.713025353,,,,,,
V15773,,,0.18812153,,,,,,
V8047,,,-3.129740106,,,,,,
V8073,,,-0.302960006,,,,,,
V8088,,,0.02324133,,,,,,
V36624,,,1.385806278,,,,,,
V27331,,,-3.219816922,,,,,,
cg18140959,PTGS1,,,,0.975839717,,,,
cg24378708,SHOX2,,,25.85998015,,,,,
cg09706290,IKZF1,,,,,,,0.046514797,
V35344,,,-6.395455645,,,,,,
V37305,,,-1.014929158,,,,,,
V28788,,,-0.820588754,,,,,,
cg11105656,CELF4,,,,2.326814338,,,,
V18641,,,-4.847318532,,,,,,
V36219,,,-0.070696671,,,,,,
V37533,,,2.817831812,,,,,,
V29418,,,-15.71762282,,,,,,
V37534,,,0.341299738,,,,,,
V29537,,,-0.638486559,,,,,,
cg23052275,HOXB8,,,0.862918813,,,,,
cg01214458,MN1,,,2.648460219,,,,,
V11700,,,1.735182938,,,,,,
cg10755942,MEIS1,,,-11.40444523,,,,,
cg02644056,LRBA,,,0.176490545,,,,,
V13095,,,3.942862532,,,,,,
V30462,,,0.82953315,,,,,,
V22216,,,0.062712706,,,,,,
V30919,,,-0.944473027,,,,,,
V5648,,,-1.285892137,,,,,,
V22774,,,-3.001597492,,,,,,
cg22397546,TLX3,,,2.211687258,,,,,
V31086,,,4.622468337,,,,,,
V14770,,,1.297042218,,,,,,
V23967,,,3.900694053,,,,,,
V31809,,,7.521204883,,,,,,
V31958,,,-7.506237638,,,,,,
V15285,,,1.065815938,,,,,,
V25558,,,-0.120028377,,,,,,
V25804,,,0.05036246,,,,,,
V26257,,,7.387638435,,,,,,
V26314,,,-2.651331665,,,,,,
V16307,,,2.154210219,,,,,,
V16576,,,0.016608203,,,,,,
V16666,,,-8.869231506,,,,,,
V26864,,,-2.007063972,,,,,,
V16963,,,4.517644307,,,,,,
V8550,,,-0.576255619,,,,,,
V27337,,,-0.002902762,,,,,,
V27890,,,1.643884181,,,,,,
V28129,,,0.5016737,,,,,,
V17724,,,-0.668296994,,,,,,
V17774,,,-0.032995727,,,,,,
V9768,,,0.182159061,,,,,,
V28809,,,-5.215317079,,,,,,
V18801,,,-0.164005916,,,,,,
V18946,,,5.01591149,,,,,,
V20525,,,31.46597333,,,,,,
V11446,,,5.624287929,,,,,,
V20885,,,-0.017306829,,,,,,
V11676,,,-1.786949932,,,,,,
V29747,,,4.373091002,,,,,,
V21718,,,-0.880275489,,,,,,
V29932,,,-2.032766551,,,,,,
V36832,,,-1.765658129,,,,,,
V21923,,,3.41514868,,,,,,
cg03458585,BCL11A,,,-16.71392651,,,,,
V30745,,,-8.017768537,,,,,,
V30812,,,2.635829297,,,,,,
V14039,,,-1.490950363,,,,,,
V30933,,,-0.441719601,,,,,,
V30963,,,-1.430314138,,,,,,
V34479,,,0.452184881,,,,,,
V23311,,,1.485504557,,,,,,
V31711,,,0.143601444,,,,,,
cg25982943,LHFPL4,,,4.873539759,,,,,
cg22033619,BCL11A,,,-0.048873177,,,,,
V25068,,,4.812919678,,,,,,
V32267,,,-3.767978663,,,,,,
V32498,,,-3.090838384,,,,,,
V32664,,,-1.3083664,,,,,,
V32856,,,15.09469203,,,,,,
V26358,,,-0.018785777,,,,,,
V26468,,,-2.911796918,,,,,,
V26500,,,2.041293363,,,,,,
V36490,,,1.179371125,,,,,,
V27058,,,-0.848117298,,,,,,
V16989,,,-9.325890597,,,,,,
V34955,,,-5.989768732,,,,,,
V34986,,,0.494406896,,,,,,
V35156,,,-0.036461252,,,,,,
V28479,,,-4.285430813,,,,,,
V28645,,,0.332672294,,,,,,
V18074,,,-7.762167634,,,,,,
V37367,,,-2.958997182,,,,,,
V28845,,,1.262270177,,,,,,
V28859,,,-4.105250206,,,,,,
V29254,,,2.45708712,,,,,,
V20856,,,2.250975881,,,,,,
V29428,,,9.594545124,,,,,,
V21096,,,0.078362633,,,,,,
cg01212216,LDLRAD3,,,-1.542242984,,,,,
V29752,,,-1.690925624,,,,,,
cg02478760,GATA3,,,1.935697296,,,,,
V32074,,,0.150534177,,,,,,
V30211,,,-0.431461342,,,,,,
cg22090756,ADGRL1,,,-0.664988509,,,,,
cg03477060,BCL11A,,,-1.1112738,,,,,
V37526,,,-1.276570344,,,,,,
V22359,,,-0.573384209,,,,,,
cg15682828,gene:ENSHGLG00100019632,,,2.321699593,,,,,
V34081,,,0.176205933,,,,,,
cg06564900,FIGN,,,9.210059094,,,,,
V31480,,,0.012738135,,,,,,
V34618,,,0.021155157,,,,,,
cg05215357,ELAVL2,,,,0.719168734,,,,
cg06944510,ELAVL2,,,,6.229710663,,,,
V36760,,,0.174362698,,,,,,
cg14344369,BCL11A,,,-12.40079767,,,,,
V35504,,,0.630262428,,,,,,
V35611,,,9.497969227,,,,,,
V35655,,,-0.819168458,,,,,,
V32901,,,9.55672926,,,,,,
V33913,,,4.018745786,,,,,,
V36377,,,0.680473638,,,,,,
cg27553955,KCNG3,,,,,0.683967154,,,
cg09622673,BTRC,,,,,,,0.120000211,
V36686,,,-0.471230787,,,,,,
cg14850368,MDGA2,,,,,6.011076187,,,
cg19769850,BARHL2,,,,,5.887383845,,,
cg07332354,MEF2C,,,,0.69200725,,,,
cg16614832,PDSS2,,,,,,,-0.306787113,
cg23507236,GRIP2,,,,,,,0.027382422,
cg03382217,BCL11B,,,,,,,0.000328546,
cg10726346,NFIB,,,,,,-1.814293637,,
V35774,,,-5.540118453,,,,,,
cg24773146,TUBGCP3,,,,0.831370927,,,,
cg15956344,gene:ENSHGLG00100021074,,,,0.492505821,,,,
cg03590843,TMEM63B,,,,,,,0.001811419,
cg03644155,NDP,,,,,,,-0.033403172,
cg07607664,ETAA1,,,-1.520227579,,,,,
cg13214349,PRKAR2B,,,,,,-6.075887293,,
cg03734211,HOXC8,,,,,,,-0.068318072,
cg12900023,WDR81,,,-0.672305838,,,,,
cg04138506,HOXC4,,,,,,,-0.000767706,
cg10765212,COL5A2,,,,,,,0.000595022,
cg11450139,TMEM174,,,,,,-2.067317896,,
cg22015001,PPP1R21,,,,,,-5.519143325,,
cg13479141,FANCL,,,-1.684876696,,,,,
cg04349239,RBM41,,,,,,,0.041522609,
cg15154755,GRM7,,,,1.933301203,,,,
cg20090258,SMG6,,,0.30285935,,,,,
cg10988052,WNK2,,,,,,,-0.118353392,
V34482,,,-1.667870111,,,,,,
cg16468500,POLR3A,,,,4.678274663,,,,
V36729,,,2.80432811,,,,,,
cg16198067,TMEM161B,,,,4.749584563,,,,
cg19067187,ISL1,,,-0.214064555,,,,,
cg21474882,gene:ENSHGLG00100021074,,,,0.271151347,,,,
cg25005357.2,CGNL1,,,-0.140259912,,,,,
cg09980522,GRIA4,,,,0.20736979,,,,
cg00200899,NOL4,,,,0.795086549,,,,
cg01562774,TWIST1,,,,0.763067147,,,,
cg16715425,GRIA1,,,,0.30740959,,,,
cg02676375,TLX3,,,,6.405182291,,,,
V36757,,,0.63745502,,,,,,
cg22316499,WDR92,,,,,-3.468832662,,,
cg16555117,MRPS18A,,,,,,-1.563762315,,
cg23763361,IRX3,,,,,,-2.36117639,,
cg09626366,CACNA1D,,,,,,-3.156954475,,
cg20821026,ZDHHC17,,,,,,,-0.131562927,
cg12337473,MEF2C,,,,,,,0.001739567,
cg08578734,GRIA1,,,,5.440974247,,,,
V37316,,,2.500145061,,,,,,
cg00209445,TMEM71,,,,,,,0.081533886,
cg00797540,ZADH2,,,,,,-2.256491662,,
cg05098623,TSPAN1,,,0.736035265,,,,,
cg25813765,UNC5A,,,,,,,-0.002197569,
cg03582041,HOXA11,,,,,4.77693133,,,
cg20477718,TWIST1,,,,0.5713368,,,,
cg23720638,RPRD2,,,,,,,-0.366765475,
cg00910419,BCL11A,,,,,,,0.819593777,
cg07865615,PTPRE,,,-0.567589372,,,,,
cg21532698,KCNN2,,,,3.418075986,,,,
cg18838206,ACTRT2,,,,,,0.367500654,,
cg25055739,CA10,,,,2.961086238,,,,
cg14842184,NOLC1,,,,,,,-0.152796071,
cg01213012,USP5,,,,,,,-0.231828535,
cg14014075,ACTRT2,,,,,,0.903537324,,
cg14946072,RBFOX1,,,,1.333195044,,,,
cg07115282,SCRT2,,,,,9.331449312,,,
cg10375861,gene:ENSHGLG00100019963,,,,,,-0.135468593,,
cg13935553,RASSF8,,,,,,-4.848160024,,
cg19549894,PAX6,,,8.659257161,,,,,
cg23346072,OTP,,,,,2.209313563,,,
cg25704502,KIAA0408,,,,0.290803771,,,,
cg20876490,SPRED1,,,,,,-1.602909154,,
cg15006148,GPR180,,,,,-0.3968599,,,
cg13660279,IRX3,,,,0.116757186,,,,
cg02784437,TUBGCP3,,,,,1.220393708,,,
cg00524115,UBIAD1,,,,,1.833914789,,,
cg10810799,HOXC12,,,,,3.19881291,,,
cg05656590,MECOM,,,,,,,-0.434602408,
cg10314406,SRRM2,,,,,,-0.650369042,,
cg27496468,NR2E1,,,,,2.059679338,,,
cg22048239,FBXO33,,,,,,-4.674190103,,
cg04074570,SLC39A5,,,,,,-3.659507294,,
cg23130254,HOXD12,,,,,,,-0.076916434,
cg18433461,SLC25A4,,,,,,,-0.086440983,
cg19115817,PAPOLG,,,,,,,4.9e-05,
cg05402636,RNF19B,,,,,,,0.027411552,
cg00971969,DDX17,,,,,,,-0.036669295,
cg14213846,ZC3H3,,,,,,,0.031605804,
cg00190912,TLN2,,,,,,,0.024701488,
cg16643400,IKZF2,,,,,,,0.074019256,
cg24189185,FGF5,,,,,,,0.08887023,
cg08370996,NR2F2,,,,,,,0.137831064,
cg17459848,C16orf72,,,,,,,0.017457535,
cg05784086,HOXC8,,,,,,,-0.058524272,
cg05803081,SCRT2,,,,,,,-0.510658727,
cg05861987,CADPS2,,,,,,,0.074822424,
cg05866252,FOXO6,,,,,,,-0.024346501,
cg01579428,KCNJ9,,,,,,,-0.024702898,
cg19127418,PCDH7,,,,,,,0.000186747,
cg04879945,RORA,,,,,,,0.089800715,
cg00976203,ADAMTS6,,,,,,,-0.124020417,
cg24094043,NLGN2,,,,,,,-0.976146202,
cg06792381,AP1G1,,,,,,,0.152060229,
cg01997098,JMJD1C,,,,,,,-0.101441538,
cg02034779,MUL1,,,,,,,0.025188454,
cg11552482,ACVR2A,,,,,,,0.141275164,
cg08446005,SOCS3,,,,,,,0.001669758,
cg22199101,FKBP5,,,,,,,-0.01038017,
cg17754115,DMBX1,,,,,,,0.154528593,
cg01572724,TSPAN17,,,,,,,0.030289809,
cg14005972,SLC36A4,,,,,,,-0.063550189,
cg08885324,SLC44A1,,,,,,,-0.0807607,
cg14577476,MBTD1,,,,,,,-1.165943287,
cg01796610,CMIP,,,,,,,0.263878081,
cg09084199,MAF,,,,,,,0.141038419,
cg05577345,INSIG2,,,,,,,-0.143347804,
cg25683012,ATP5F1B,,,,,,,-1.027935992,
cg23658721,WNT3,,,,,,,0.152796626,
cg06200735,ABCC4,,,,,,,-0.090617618,
cg09461098,SLC5A11,,,,,,,-0.042143055,
cg23116266,HIVEP1,,,,,,,-0.044568603,
cg05273821,HOXC4,,,,,,,-0.03471876,
cg18409102,ZBTB16,,,,,,,-0.392215475,
cg18968947,RAB11FIP2,,,,,,,0.028159331,
cg07828495,FOXB1,,,,,,,0.028758056,
cg26578422,PRRC2C,,,,,,,0.049859621,
cg12887931,SLC25A12,,,,,,,-0.320990114,
cg25539759,EFNB2,,,,,,,0.099201004,
cg13142119,GORAB,,,,,,,-0.079513426,
cg20989633,MAGI1,,,,,,,-0.000862895,
cg27251107,C15orf41,,,,,,,-0.18900883,
cg11527171,QTRT1,,,,,,,0.511817001,
cg06214109,ZNF608,,,,,,,0.089359586,
cg04423201,KLF9,,,,,,,-1.192518303,
cg18897345,DDX17,,,,,,,-0.064522288,
cg13367589,CHKA,,,,,,,-4.54e-05,
cg04582364,FST,,,,,,,0.074031094,
cg04762133,AGO3,,,,,,,0.021930718,
cg25921329,CADM1,,,,,,,0.204103481,
cg15294367,OXGR1,,,,,,,0.075740401,
cg19329327,LMO4,,,,,,,0.004848334,
cg13656158,WFS1,,,,,,,0.115853338,
cg20303044,EXT1,,,,,,,-0.131778115,
cg06796779,GATA2,,,,,,,-0.070884823,
cg08215831,CRH,,,,,,,0.054263743,
cg27043849,PCOLCE,,,,,,,-0.072178982,
cg06472439,FAM172A,,,,,,,0.231816101,
cg10967836,FAM120A,,,,,,,0.066118633,
cg07062661,MAFF,,,,,,,0.04371557,
cg18397269,PAX5,,,,,,,0.05800267,
cg14670966,RRP15,,,,,,,0.051496816,
cg27705950,LDAH,,,,,,,0.009123002,
cg05194810,DLX1,,,,,,,0.018982351,
cg06762090,SEMA5B,,,,,,,0.103050398,
cg22038343,TPP2,,,,,,,0.009708065,
cg22097793,PPIC,,,,,,,-0.015286053,
cg19777105,TMEM161B,,,,,,,-0.107781745,
cg17553901,USP5,,,,,,,-0.005365376,
cg24341129,BNC2,,,,,,,0.038472654,
cg19633001,gene:ENSHGLG00100020165,,,,,,,-0.000491189,
cg20117682,ITGB8,,,,,,,0.002532287,
cg06247149,HOXC12,,,,,,,-0.069795921,
cg27626343,SNX22,,,,,,,-0.205292667,
cg17997463,NUMA1,,,,,,,-0.015567583,
cg13309513,TUBG1,,,,,,,-0.538432697,
cg27003880,TFAP2A,,,,,,,-0.017995873,
cg07031236,ANAPC16,,,,,,,-0.007646214,
cg26792594,DENND1A,,,,,,,0.085079953,
cg19619003,FOXO6,,,,,,,-0.11618889,
cg20435403,HOXC4,,,,,,,-0.006422464,
cg11084334,LHFPL4,,,,,,,0.165100649,
cg20348567,CIC,,,,,,,,-0.008241951
cg00027863,TNFSF13,,,,,,,,-0.008203867
cg16160648,ZBTB7C,,,,,,,,0.002476263
cg27005345,KLHL14,,,,,,,,0.014248908
cg00279752,NPAS3,,,,,,,,-0.026644868
cg00487538,PAX7,,,,,,,,0.003289439
cg07782006,CADM1,,,,,,,,-0.025947597
cg00674815,ADAMTS6,,,,,,,,-0.000489805
cg21219688,SPTBN1,,,,,,,,0.049822427
cg25420162,ARID5B,,,,,,,,-0.002517351
cg16671155,ACTN1,,,,,,,,0.043338517
cg03574244,ERI3,,,,,,,,0.001119035
cg16793862,ATXN2L,,,,,,,,0.026726765
cg00893084,LRP1,,,,,,,,0.00564752
cg03822661,CCDC17,,,,,,,,0.017156272
cg03957108,OTX1,,,,,,,,0.018694572
cg01088404,HDAC7,,,,,,,,-0.008407613
cg01155266,WDR5B,,,,,,,,-0.015150777
cg08613933,PAX2,,,,,,,,-0.035340476
cg08657650,ZSWIM6,,,,,,,,0.031610538
cg27454487,ADAMTS6,,,,,,,,-0.001061594
cg08856808,TRAPPC12,,,,,,,,-0.048422509
cg15125251,gene:ENSHGLG00100019495,,,,,,,,-0.011682894
cg04422341,FOXO6,,,,,,,,-0.002948572
cg08887457,NRP2,,,,,,,,0.000253066
cg01593408,LRMDA,,,,,,,,-0.005919233
cg22131459,BEND5,,,,,,,,0.039416304
cg09035699,MEIKIN,,,,,,,,-0.004477385
cg09155844,GPR26,,,,,,,,0.003620884
cg17638929,MBTD1,,,,,,,,0.014753703
cg22377379,STAG2,,,,,,,,0.048427746
cg09289224,SLC44A2,,,,,,,,-0.004431258
cg02270531,FOXP4,,,,,,,,-0.000304251
cg02298541,ST8SIA4,,,,,,,,0.003934271
cg02299271,PBX3,,,,,,,,0.023540017
cg17983153,UBTF,,,,,,,,-0.015936845
cg15905736,HOXC6,,,,,,,,0.008822876
cg05314634,HDAC7,,,,,,,,-0.006551432
cg22789469,RABGAP1L,,,,,,,,-0.003030591
cg24932816,LMO4,,,,,,,,-0.054637789
cg02855204,BCL2L2-PABPN1,,,,,,,,-0.001159096
cg26709530,MBNL1,,,,,,,,-0.000310555
cg05543238,GTF2A1,,,,,,,,-0.050260766
cg03134455,PRDM16,,,,,,,,-0.006445316
cg16168311,NAXE,,,,,,,,-0.008677562
cg07768842,FGR,,,,,,,,-0.107531177
cg09988058,SOCS7,,,,,,,,0.01038077
cg10057411,INSC,,,,,,,,0.000692226
cg10103348,PCCB,,,,,,,,-0.33905767
cg17230508,DMBX1,,,,,,,,-0.001297003
cg18541104,HSD17B12,,,,,,,,0.068785854
cg25534230,ZBTB20,,,,,,,,0.017956589
cg05949171,CDH13,,,,,,,,-0.011737799
cg10528602,CDH8,,,,,,,,0.005391175
cg06038792,LINGO1,,,,,,,,-0.001593378
cg11209338,GLYCTK,,,,,,,,0.00558903
cg04030186,LGI1,,,,,,,,-0.011060516
cg18944151,FOXA2,,,,,,,,-0.011423253
cg04095564,SKIDA1,,,,,,,,0.066495059
cg10717922,MED12L,,,,,,,,-0.065752015
cg24061023,KDM6B,,,,,,,,0.005813243
cg13089275,LMO1,,,,,,,,-0.095700447
cg07386222,ZSWIM8,,,,,,,,-0.023732901
cg22023191,CNOT6L,,,,,,,,-0.001628688
cg24803018,Clk2,,,,,,,,-0.049769216
cg24326951,PITPNM3,,,,,,,,-0.01792525
cg04626222,gene:ENSHGLG00100003825,,,,,,,,0.002758286
cg04680480,RHPN1,,,,,,,,0.013519703
cg22951079,LHX2,,,,,,,,-0.021270629
cg07043724,HOXB8,,,,,,,,0.002203981
cg17655329,PTX3,,,,,,,,0.000268701
cg11275491,PTPRD,,,,,,,,-0.006194852
cg17801256,ZMYM4,,,,,,,,0.034636836
cg11373055,EGR3,,,,,,,,0.038104455
cg15674081,LRMDA,,,,,,,,-0.007840728
cg13061698,SYNCRIP,,,,,,,,0.009420188
cg05223134,DGKB,,,,,,,,-0.00721229
cg13739934,POU4F1,,,,,,,,-0.004336746
cg18082149,BARHL2,,,,,,,,0.005990228
cg20280916,PBX1,,,,,,,,0.027304594
cg13944639,FGF5,,,,,,,,-0.039566137
cg18596025,NUMA1,,,,,,,,-0.000322366
cg07032889,FGF9,,,,,,,,-0.022048924
cg12286733,DMPK,,,,,,,,8.94e-07
cg07060238,TSC22D2,,,,,,,,-0.000315207
cg12938952,SALL3,,,,,,,,-0.004742712
cg05750171,ZNF574,,,,,,,,0.031399069
cg14306812,LPP,,,,,,,,0.073137867
cg25310719,E2F3,,,,,,,,0.017870723
cg27543783,UNK,,,,,,,,-0.459413407
cg19331623,TFAP2A,,,,,,,,0.002939041
cg20323441,PKNOX2,,,,,,,,-0.012942027
cg19719141,DMBX1,,,,,,,,0.00906353
cg25603344,UTP11,,,,,,,,-0.010944811
cg19756357,MNT,,,,,,,,-0.02412938
cg13051748,WDR6,,,,,,,,-0.000109829
cg25760286,PAK3,,,,,,,,0.012812814
cg10623282,ZNF483,,,,,,,,-0.008294386
cg19963038,RNF220,,,,,,,,0.005920171
cg12786585,KCNQ1,,,,,,,,-6.84e-05
cg06419952,MED14,,,,,,,,0.00240529
cg27397465,HS3ST5,,,,,,,,0.004775616
cg09410314,RREB1,,,,,,,,-0.003313142
cg23933618,PAX6,,,,,,,,-0.005281429
cg07284967,DMBX1,,,,,,,,-0.007874482
cg22200527,DLG3,,,,,,,,0.001496936
cg15201877,PTGER3,,,,,,,,0.006378748
cg24898582,RBFOX2,,,,,,,,0.006032294
cg15195387,AK7,,,,,,,,-0.01193647
cg24580589,MGST2,,,,,,,,-0.113404103
cg20026415,HOXC11,,,,,,,,-0.00240605
cg27050569,TSPAN1,,,,,,,,0.008592088
cg25843357,TTLL11,,,,,,,,0.000239679
cg27379399,FGR,,,,,,,,-0.009330303
cg11150973,FIGN,,,,,,,,0.001069933
cg17193033,RRP15,,,,,,,,0.001029336
cg14270451,TCF4,,,,,,,,-0.001627695
